strd_tizn_val,vehi_size_dv_val,vehi_typ_dv_val,avg_vehi_num
12,경형,특수,0.0
12,경형,화물,0.0
13,대형,승용,136.22222222222223
13,대형,승합,1.6
13,대형,특수,1.0
13,대형,화물,5.130434782608695
13,중형,승용,208.55555555555554
13,중형,승합,5.222222222222222
13,중형,특수,1.1111111111111112
13,중형,화물,6.730769230769231
13,소형,승용,1.5
13,소형,승합,0.0
13,소형,특수,1.5
13,소형,화물,47.2962962962963
13,경형,승용,0.0
13,경형,승합,1.0
13,경형,특수,0.0
13,경형,화물,0.0
14,대형,승용,149.2962962962963
14,대형,승합,2.6923076923076925
14,대형,특수,1.0
14,대형,화물,4.333333333333333
14,중형,승용,228.62962962962962
14,중형,승합,6.333333333333333
14,중형,특수,1.125
14,중형,화물,9.615384615384615
14,소형,승용,1.4444444444444444
14,소형,승합,0.0
14,소형,특수,1.3571428571428572
14,소형,화물,60.925925925925924
14,경형,승용,1.0
14,경형,승합,0.0
14,경형,특수,0.0
14,경형,화물,0.0
15,대형,승용,170.8148148148148
15,대형,승합,3.0
15,대형,특수,1.0
15,대형,화물,4.695652173913044
15,중형,승용,254.2962962962963
15,중형,승합,6.777777777777778
15,중형,특수,1.2
15,중형,화물,8.703703703703704
15,소형,승용,1.4705882352941178
15,소형,승합,0.0
15,소형,특수,1.6470588235294117
15,소형,화물,64.44444444444444
15,경형,승용,1.0
15,경형,승합,0.0
15,경형,특수,0.0
15,경형,화물,1.0
16,대형,승용,196.59259259259258
16,대형,승합,1.7777777777777777
16,대형,특수,1.1666666666666667
16,대형,화물,3.0
16,중형,승용,283.962962962963
16,중형,승합,6.62962962962963
16,중형,특수,1.4666666666666666
16,중형,화물,8.74074074074074
16,소형,승용,1.8095238095238095
16,소형,승합,0.0
16,소형,특수,1.5
16,소형,화물,66.44444444444444
16,경형,승용,1.0
16,경형,승합,0.0
16,경형,특수,0.0
16,경형,화물,0.0
17,대형,승용,200.5185185185185
17,대형,승합,1.411764705882353
17,대형,특수,1.4
17,대형,화물,1.9047619047619047
17,중형,승용,301.3703703703704
17,중형,승합,6.851851851851852
17,중형,특수,1.3571428571428572
17,중형,화물,6.791666666666667
17,소형,승용,1.9565217391304348
17,소형,승합,0.0
17,소형,특수,1.5333333333333334
17,소형,화물,51.629629629629626
17,경형,승용,1.0
17,경형,승합,0.0
17,경형,특수,0.0
17,경형,화물,0.0
18,대형,승용,143.625
18,대형,승합,1.5714285714285714
18,대형,특수,0.0
18,대형,화물,1.0
18,중형,승용,239.125
18,중형,승합,4.875
18,중형,특수,1.0
18,중형,화물,1.7142857142857142
18,소형,승용,1.3333333333333333
18,소형,승합,0.0
18,소형,특수,1.0
